Treating.Clinician,total,Hospital,target,percentage,hospital_each_average,hospital_all_average
90000541,2,MMC- Clayton,0,0,3.7,3.22
90001224,28,MMC- Clayton,1,3,3.7,3.22
90002178,1,MMC- Clayton,0,0,3.7,3.22
90002776,2,MMC- Clayton,0,0,3.7,3.22
90003263,1,MMC- Clayton,0,0,3.7,3.22
90003338,1,MMC- Clayton,0,0,3.7,3.22
90003440,2,MMC- Clayton,0,0,3.7,3.22
90003645,4,MMC- Clayton,1,25,3.7,3.22
90003721,4,MMC- Clayton,0,0,3.7,3.22
90003723,1,MMC- Clayton,0,0,3.7,3.22
90003827,4,MMC- Clayton,1,25,3.7,3.22
90003932,1,MMC- Clayton,0,0,3.7,3.22
90004008,2,MMC- Clayton,0,0,3.7,3.22
90004171,2,MMC- Clayton,0,0,3.7,3.22
90004253,1,MMC- Clayton,0,0,3.7,3.22
90004510,1,MMC- Clayton,0,0,3.7,3.22
90004628,2,MMC- Clayton,0,0,3.7,3.22
90004908,1,MMC- Clayton,0,0,3.7,3.22
90005005,5,MMC- Clayton,1,20,3.7,3.22
90005703,1,MMC- Clayton,0,0,3.7,3.22
90006510,3,MMC- Clayton,0,0,3.7,3.22
90008396,10,MMC- Clayton,0,0,3.7,3.22
90009738,5,MMC- Clayton,1,20,3.7,3.22
90010158,8,MMC- Clayton,1,12,3.7,3.22
90010636,22,MMC- Clayton,0,0,3.7,3.22
90010720,2,MMC- Clayton,0,0,3.7,3.22
90013598,2,MMC- Clayton,0,0,3.7,3.22
90013837,28,MMC- Clayton,0,0,3.7,3.22
90014902,20,MMC- Clayton,2,10,3.7,3.22
90015608,20,MMC- Clayton,0,0,3.7,3.22
90015901,2,MMC- Clayton,0,0,3.7,3.22
90018068,2,MMC- Clayton,0,0,3.7,3.22
90018863,4,MMC- Clayton,0,0,3.7,3.22
90019764,5,MMC- Clayton,0,0,3.7,3.22
90020817,3,MMC- Clayton,0,0,3.7,3.22
90022682,3,MMC- Clayton,0,0,3.7,3.22
90023171,19,MMC- Clayton,1,5,3.7,3.22
90024040,14,MMC- Clayton,1,7,3.7,3.22
90024223,4,MMC- Clayton,0,0,3.7,3.22
90024320,15,MMC- Clayton,1,6,3.7,3.22
90026166,38,MMC- Clayton,2,5,3.7,3.22
90028254,21,MMC- Clayton,0,0,3.7,3.22
90030535,12,MMC- Clayton,0,0,3.7,3.22
90031311,4,MMC- Clayton,0,0,3.7,3.22
90031341,4,MMC- Clayton,0,0,3.7,3.22
90032705,2,MMC- Clayton,0,0,3.7,3.22
90032929,5,MMC- Clayton,0,0,3.7,3.22
90033661,15,MMC- Clayton,0,0,3.7,3.22
90033774,26,MMC- Clayton,1,3,3.7,3.22
90033803,9,MMC- Clayton,1,11,3.7,3.22
90034135,6,MMC- Clayton,0,0,3.7,3.22
90036519,1,MMC- Clayton,0,0,3.7,3.22
90037802,4,MMC- Clayton,0,0,3.7,3.22
90040371,3,MMC- Clayton,0,0,3.7,3.22
90043227,8,MMC- Clayton,0,0,3.7,3.22
90043338,8,MMC- Clayton,0,0,3.7,3.22
90045378,2,MMC- Clayton,0,0,3.7,3.22
90047064,1,MMC- Clayton,0,0,3.7,3.22
90048747,3,MMC- Clayton,0,0,3.7,3.22
90051548,8,MMC- Clayton,0,0,3.7,3.22
90052261,4,MMC- Clayton,0,0,3.7,3.22
90052270,15,MMC- Clayton,1,6,3.7,3.22
90052916,6,MMC- Clayton,1,16,3.7,3.22
90053753,2,MMC- Clayton,0,0,3.7,3.22
90056255,2,MMC- Clayton,0,0,3.7,3.22
90057415,2,MMC- Clayton,0,0,3.7,3.22
90058180,3,MMC- Clayton,0,0,3.7,3.22
90058333,3,MMC- Clayton,0,0,3.7,3.22
90059584,20,MMC- Clayton,0,0,3.7,3.22
90059876,1,MMC- Clayton,0,0,3.7,3.22
90060546,1,MMC- Clayton,0,0,3.7,3.22
90060950,7,MMC- Clayton,1,14,3.7,3.22
90061220,7,MMC- Clayton,0,0,3.7,3.22
90062205,38,MMC- Clayton,1,2,3.7,3.22
90066524,18,MMC- Clayton,0,0,3.7,3.22
90070093,21,MMC- Clayton,0,0,3.7,3.22
90072373,10,MMC- Clayton,0,0,3.7,3.22
90074642,2,MMC- Clayton,0,0,3.7,3.22
90075008,22,MMC- Clayton,1,4,3.7,3.22
90075334,13,MMC- Clayton,0,0,3.7,3.22
90075796,4,MMC- Clayton,0,0,3.7,3.22
90076693,8,MMC- Clayton,0,0,3.7,3.22
90076797,2,MMC- Clayton,0,0,3.7,3.22
90077401,18,MMC- Clayton,2,11,3.7,3.22
90077920,1,MMC- Clayton,0,0,3.7,3.22
90078071,14,MMC- Clayton,1,7,3.7,3.22
90078705,21,MMC- Clayton,1,4,3.7,3.22
90078787,3,MMC- Clayton,1,33,3.7,3.22
90078814,6,MMC- Clayton,0,0,3.7,3.22
90079546,15,MMC- Clayton,0,0,3.7,3.22
90080314,3,MMC- Clayton,0,0,3.7,3.22
90080745,8,MMC- Clayton,0,0,3.7,3.22
90081325,32,MMC- Clayton,1,3,3.7,3.22
90081556,5,MMC- Clayton,0,0,3.7,3.22
90081588,1,MMC- Clayton,0,0,3.7,3.22
90081957,14,MMC- Clayton,0,0,3.7,3.22
90082317,8,MMC- Clayton,0,0,3.7,3.22
